frequency,trigramone,trigramtwo,trigramthree
2086,lord,the,the
1795,children,of,the
1581,house,of,the
1523,of,son,the
1190,and,lord,the
1025,land,of,the
866,lord,saith,the
855,of,out,the
817,king,of,the
814,and,i,will
